ASN,ASN_NAME,SOURCE,ASOF_DATE
139056,AS139056:AS-FASTONE-KH,PeeringDB,2024-05-23
139057,AS139057:AS-CONE,PeeringDB,2024-05-23
42156,AS-GNX,PeeringDB,2024-05-23
400917,AS-RTT,PeeringDB,2024-05-23
47156,AS-MALNET,PeeringDB,2024-05-23
15879,AS-KPNIS,PeeringDB,2024-05-23
6810,AS-BEZEQ,PeeringDB,2024-05-23
15702,RIPE::AS-ONSTAGE,PeeringDB,2024-05-23
15703,AS-TRUE,PeeringDB,2024-05-23
15704,AS-MUNDI,PeeringDB,2024-05-23
14523,AS14523:AS-ALL,PeeringDB,2024-05-23
15706,AFRINIC::AS-SUDATEL,PeeringDB,2024-05-23
59620,AS-GESBG-OUT,PeeringDB,2024-05-23
52392,AS52392:AS-TRANSIT,PeeringDB,2024-05-23
137981,AS137981:AS-ALL,PeeringDB,2024-05-23
10578,AS10578:AS-ALL,PeeringDB,2024-05-23
9752,AS9752,PeeringDB,2024-05-23
212415,RIPE::AS-BRECHT,PeeringDB,2024-05-23
268430,AS268430:AS-FLASHLINK-INTERNET,PeeringDB,2024-05-23
57883,AS-NITAET,PeeringDB,2024-05-23
37305,AS-37305,PeeringDB,2024-05-23
24144,AS-LSHIY,PeeringDB,2024-05-23
18931,AS-SAI,PeeringDB,2024-05-23
395007,AS395007:AS-PEERS,PeeringDB,2024-05-23
49791,AS-NEWSERVERLIFE-ALL,PeeringDB,2024-05-23
63270,AS-AERUX,PeeringDB,2024-05-23
14522,AS14522:AS-SATNET,PeeringDB,2024-05-23
37308,AS37308,PeeringDB,2024-05-23
138731,AS138731:AS-KOVAIFN,PeeringDB,2024-05-23
211947,AS-KREMENIX,PeeringDB,2024-05-23
8849,AS-MELBICOM,PeeringDB,2024-05-23
211945,AS211945,PeeringDB,2024-05-23
211940,AS-FUZE,PeeringDB,2024-05-23
8844,RIPE::AS-COMMUNITY RIPE::AS-COMMUNITY-V6,PeeringDB,2024-05-23
16086,AS16086:AS-CUST,PeeringDB,2024-05-23
