ASN,ASN_NAME,SOURCE,ASOF_DATE
7385,ABUL-14-7385,ASRank,2024-05-24
57866,FUSIX-AS,ASRank,2024-05-24
33132,FIBERNET-DIRECT,ASRank,2024-05-24
12883,UCOMLINE,ASRank,2024-05-24
2519,VECTANT,ASRank,2024-05-24
29208,QUANTCOM-AS,ASRank,2024-05-24
3267,RUNNET,ASRank,2024-05-24
24490,TEIN2-SG-AP,ASRank,2024-05-24
28910,INTAL-ASN,ASRank,2024-05-24
60171,AFRIX-AS,ASRank,2024-05-24
2907,SINET-AS,ASRank,2024-05-24
2686,ATGS-MMD-AS,ASRank,2024-05-24
7016,CCCH-3,ASRank,2024-05-24
5391,T-HT,ASRank,2024-05-24
17762,HTIL-TTML-IN-AP,ASRank,2024-05-24
3462,HINET,ASRank,2024-05-24
37613,Dolphin-Telecom-AS,ASRank,2024-05-24
12430,VODAFONE_ES,ASRank,2024-05-24
6667,EUNET-FINLAND,ASRank,2024-05-24
9505,TWGATE-AP,ASRank,2024-05-24
12735,ASTurkNet,ASRank,2024-05-24
5578,AS-BENESTRA,ASRank,2024-05-24
12400,PARTNER-AS,ASRank,2024-05-24
202,CENTURYLINK-LEGACY-LVLT-202,ASRank,2024-05-24
135069,FEENIX-AS-AP,ASRank,2024-05-24
24961,MYLOC-AS,ASRank,2024-05-24
9680,HINETUSA,ASRank,2024-05-24
24748,THINX_Poland,ASRank,2024-05-24
49063,DTLN,ASRank,2024-05-24
3301,TELIANET-SWEDEN,ASRank,2024-05-24
55850,MERCURYNZ-AS-AP,ASRank,2024-05-24
7575,AARNET-AS-AP,ASRank,2024-05-24
9116,GOLDENLINES-ASN,ASRank,2024-05-24
13760,UNITI-FIBER,ASRank,2024-05-24
50606,VIRTUAOPERATOR-AS,ASRank,2024-05-24
44306,Omonia,ASRank,2024-05-24
132876,SYMPHONY-AP-TH,ASRank,2024-05-24
17439,NETMAGIC-AP,ASRank,2024-05-24
34927,iFog-GmbH,ASRank,2024-05-24
9829,BSNL-NIB,ASRank,2024-05-24
6855,SK-TELEKOM,ASRank,2024-05-24
133296,WEBWERKS-AS-IN,ASRank,2024-05-24
58463,PGASCOM-AS-AP,ASRank,2024-05-24
62,CONE,ASRank,2024-05-24
137366,IFORTE-NAP-AS-ID,ASRank,2024-05-24
9930,TTNET-MY,ASRank,2024-05-24
137367,IFORTE-NAP-AS-ID,ASRank,2024-05-24
59796,STORMWALL-AS,ASRank,2024-05-24
139901,APPLE1-AS-AP,ASRank,2024-05-24
12695,DINET-AS,ASRank,2024-05-24
3352,Telefonica_de_Espana,ASRank,2024-05-24
15576,NTS,ASRank,2024-05-24
12129,123NET,ASRank,2024-05-24
12963,VOLZ,ASRank,2024-05-24
2116,GlobalConnect-NO,ASRank,2024-05-24
12479,UNI2-AS,ASRank,2024-05-24
48084,UMLC,ASRank,2024-05-24
47734,TELECOM-IT-SOLUTIONS-AS,ASRank,2024-05-24
9198,KAZTELECOM-AS,ASRank,2024-05-24
39737,Prime-Telecom-AS,ASRank,2024-05-24
34549,MEER-AS,ASRank,2024-05-24
15557,LDCOMNET,ASRank,2024-05-24
327708,AIRTEL-RW,ASRank,2024-05-24
7470,TRUEINTERNET-AS-AP,ASRank,2024-05-24
135607,INFINIVAN-AS-AP,ASRank,2024-05-24
721,DNIC-ASBLK-00721-00726,ASRank,2024-05-24
34309,LINK11,ASRank,2024-05-24
47147,AS-ANX,ASRank,2024-05-24
2711,SPIRITTEL-AS,ASRank,2024-05-24
137491,PEEREX-NET-AS-AP,ASRank,2024-05-24
59605,ZAINGP-AS,ASRank,2024-05-24
8764,Telia-Lietuva,ASRank,2024-05-24
41689,EDGE-NETWORK,ASRank,2024-05-24
12357,COMUNITEL,ASRank,2024-05-24
32097,WII,ASRank,2024-05-24
33363,BHN-33363,ASRank,2024-05-24
43754,ASIATECH,ASRank,2024-05-24
25159,SONICDUO-AS,ASRank,2024-05-24
