IP_ADDR,RDNS,ASN,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,SOURCE,ASOF_DATE
80.249.208.165,ams-ix1.ams1.network.solcon.net.,12414,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.168,amsix-ams9.netarch.akamai.com.,20940,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.170,,16147,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.171,et-0-3-0-0.eun-mx480-01.true.nl.,15703,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.172,amsix.dialtelecom.cz.,29208,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.174,,20326,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.176,,45437,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.179,ge0-3.ams.OTEglobe.net.,12713,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.180,amsix.nl.edpnet.net.,9031,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.183,i0-v600.router.box.nl.,16298,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.184,ge-1-0-0.br0.ams.nl.asnet.tw.,24167,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.186,rtr-ams-1.rtl.nl.,20504,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.188,MX5.Nikhef.as39637.net.,39637,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.189,ae1.nikhef-ixp.openpeering.nl.,20562,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.190,ams-ix.r1.ams1.afilias-nst.info.,12041,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.193,amsix1.net.terratransit.com.,42366,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.194,nlamtr1103er1.am.nl.attglobal.net.,2686,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.196,,64518,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.197,ams-ix.ams1crt01.previder.net.,20847,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.198,,201119,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.200,amsix-501.xe-0-0-0.jun1.bit-1.network.bit.nl.,12859,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.201,,203536,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.202,edge1.ams.waycom.net.,30889,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.205,ams-ix.ams.didww.com.,198046,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.208,Xe5-3-0-0-grtamstc1.ri.telefonica-data.net.,12956,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.209,ams-ix.a2b-internet.com.,51088,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.210,r1ams1.core.init7.net.,13030,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.211,,59711,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.212,amsix-1.irt1.ams01.nl.as13237.net.,13237,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.215,hu-0-6-0-0.bb03.ams-01.leaseweb.net.,16265,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.216,ams-ix.plex.net.,21478,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.217,ams1-cr1-te0100.cprm.net.,8657,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.218,ams-ix-vrf-NL.mx01.fra.as3326.net.,3326,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.219,eth53-1q2-h9077.core1-ams-eq3.bb.as24961.net.,24961,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.221,amsix.macarne.com.,64289,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.222,ams-ix.ams2crt01.previder.net.,20847,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.223,ams-ix.luna.nl.,12902,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.226,te0-0-1-3-br3.hamburg2.iphh.net.,12731,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.228,ams-ix.r1.eqx-am7.nl.as43350.com.,43350,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.234,te0-0-2-2.br01.ams2844.sig-telecom.net.,20932,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.235,,60486,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.236,et-0-0-1-pr2.AMS.router.colt.net.,8220,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.237,te2-2.border01.tc2.ams.unilogicnetworks.net.,28788,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.238,,17534,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.240,router.nl-ams.k.ripe.net.,6762,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.241,tcty1-2.ams.turktelekom.com.tr.,7713,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.242,ams-ix.nic.fr.,2484,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.243,irb501.tc5-pe01.omroep.nl.,25182,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.244,m6.e1.ams0.transip.net.,20857,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.245,xe1-1-0.bg11.am1.as16243.net.,47886,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.247,core1.ams.net.google.com.,15169,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.249,ams-ix.euroline.business.,50263,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.250,amsix.pch.net.,42,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.251,amsix-6k-1.routers.proxad.net.,12322,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.252,xe-5-2-0.vancis-asd01-r01.vancis.net.,1126,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.254,,17557,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.255,rs1.ams-ix.net.,6777,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.0,rs2.ams-ix.net.,6777,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.1,rtr-glo-02.ams-ix.net.,1200,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.2,amsix.tuxis.net.,197731,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.3,,200596,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.5,ams-ix-gw.severen.net.,35000,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.8,,139341,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.9,,203101,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.11,,30103,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.12,,202053,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.14,,35280,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.15,ams-ix.mismenet.net.,203936,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.17,ams-ix.itgate.net.,12779,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.20,ams-ix-1.microsoft.com.,8075,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.21,ams-ix-2.microsoft.com.,8075,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.22,rt-amsix.denic.de.,8763,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.24,gve-gix-br-72-03-lb-0.vtxnet.net.,12350,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.25,be-2.cr3.ams1.nl.portlane.net.,42708,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.26,ams-ix.neterra.net.,34224,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.28,,45899,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.29,ams-ix.ams-nl.ix.as34288.net.,34288,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.34,ae1-scr001.ams.as13285.net.,13285,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.35,ams-ix1.sara.computel.nl.,31383,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.37,TenGE13-2.br02.ams01.pccwbtn.net.,3491,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.38,rt-ams-ix-1.contabo.net.,51167,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.39,ams-ix.unbelievable-machine.net.,48173,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.40,,209162,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.41,MX-SCP.network.intermax.nl.,24586,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.42,amsix-gw1.ams.basefarm.net.,25148,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.45,,39832,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.46,,8551,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.48,,265038,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.53,,8218,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.54,amsix.xe-0-0-13.trix.network.,35709,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.55,amsix-gw.hetzner.de.,24940,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.56,amsix.fiberax.com.,3252,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.57,,37009,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.59,amsix.soco.net.,12759,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.61,ams-ix.br2.sof2.evolink.net.,8262,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.62,rtamsix.netcologne.de.,8422,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.68,amsix.nedzone.nl.,25459,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.69,ams-ix-gw.telegram.org.,62041,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.71,core02.nikhef.infracom.nl.,8587,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.72,ams-ix.nikhef.redhosting.nl.,39647,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.74,amsix.teledata-fn.de.,21263,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.76,BRU-11-R7.car.belbone.be.,6774,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.79,edge1.tc1.as30925.net.,30925,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.80,ams-ix.sdt.net.,6735,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.81,asd-tc2-core2-po10.iunxi.net.,34968,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.84,ge-1-0-8.border-1.thn.lon.uk.as29017.net.,29017,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.85,,50340,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.86,irb501.nik-pe01.omroep.nl.,25182,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.87,,26464,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.89,,8966,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.90,ams-gsw-pr001.nl.qinip.net.,8608,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.91,tm.net.my.,4788,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.92,peering.r1.amx.dnsnode.net.,2603,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.93,,54183,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.94,ae0.rt-amsix-1.m-online.net.,8767,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.95,,23764,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.96,,31595,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.97,amsix.cr0.ams1.dstny.com.,8368,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.98,xe-0-0-2.er.gs.as31477.net.,31477,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.99,amsix.sara.ams.spxs.net.,12399,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.100,core2.ams.net.google.com.,15169,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.101,vl47.er3.eq2.ams.triple-it.nl.,50295,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.102,poznan-gw2.pionier.net.pl.,196844,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.104,amsix1.bw-2.breedbandnederland.nl.,5524,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.106,ams-ix-1.cesnet.cz.,2852,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.107,xe-2-0-1-501.pe-r-00.nik.nl.hso-group.net.,39326,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.108,ams-ix-tc2.sbs.nl.,50072,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.109,xnl1002aihb001.versatel.de.,8881,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.110,ge-1-3-0.pat1.ams.yahoo.com.,10310,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.111,ams-ix.link11.de.,34309,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.112,r1.ix5.ebayclassifieds.com.,41552,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.113,,62715,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.114,hefra-mc01.hlkomm.net.,16097,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.115,br01.ams1.tfbnw.net.,32934,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.116,,50010,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.117,,9264,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.118,ams-ix.hermes-telecom.net.,50083,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.119,AMS-IX.tng.de.,13101,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.120,amsix.ams-gw01.qatar.net.qa.,8781,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.121,amst-ar1.intl.ip.rostelecom.ru.,12389,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.125,ams-ix.as5398.com.,5398,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.126,,57724,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.127,edge1-gi0-0-1.610.ams.megarouting.eu.,9115,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.128,ae4-0.ams10.core-backbone.com.,33891,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.129,ams-ix2.kornet.net.,4766,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.130,ams-ix.rtr-5-nh.cj2.nl.,39704,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.132,router.nl-ams.authdns.ripe.net.,197000,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.133,fr3.ams.llnw.net.,22822,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.135,ams-ix-1.guardfox.com.,25455,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.136,ams-ix-1.net.in2ip.nl.,34141,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.209.139,ams13-peer-1.hundredgige2-3-0.tele2.net.,1257,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
