ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
29518,60.1275,18.6415,RIPEAtlas,,59.3507599543,18.0973347328,Stockholm,Stockholm,SE,False,2024-05-24
29695,59.2015,9.6315,RIPEAtlas,,59.1999898469,9.60002355819,Skien,Telemark,NO,False,2024-05-24
16125,55.9185,23.2875,RIPEAtlas,,55.9386385286,23.3250255928,Šiauliai,Šiauliai,LT,False,2024-05-24
9198,53.2175,63.6285,RIPEAtlas,,53.2208974397,63.6283019601,Oostanay,Qostanay,KZ,False,2024-05-24
8764,54.6895,25.2785,RIPEAtlas,,54.6833663118,25.3166352933,Vilnius,Vilniaus,LT,False,2024-05-24
15943,53.5385,10.2205,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2024-05-24
13285,51.3305,-0.2495,RIPEAtlas,,51.4999947297,-0.11672184386,London,Westminster,GB,False,2024-05-24
20880,52.3905,13.0305,RIPEAtlas,,52.400404886,13.0699926337,Potsdam,Brandenburg,DE,False,2024-05-24
3209,52.4015,13.0405,RIPEAtlas,,52.400404886,13.0699926337,Potsdam,Brandenburg,DE,False,2024-05-24
60294,51.9315,7.3405,RIPEAtlas,,51.9704052929,7.62004105493,Münster,Nordrhein-Westfalen,DE,False,2024-05-24
12322,47.2675,-0.0485,RIPEAtlas,,47.4800075471,-0.53002994933,Angers,Pays de la Loire,FR,False,2024-05-24
3250,47.5485,7.5815,RIPEAtlas,,47.5803890168,7.59001704777,Basel,Basel-Stadt,CH,False,2024-05-24
4764,-27.6815,152.8015,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2024-05-24
141626,-6.5985,106.8115,RIPEAtlas,,-6.57000079461,106.750010945,Bogor,Jawa Barat,ID,False,2024-05-24
141626,-6.2585,106.8115,RIPEAtlas,,-6.17441770541,106.829437621,Jakarta,Jakarta Raya,ID,False,2024-05-24
396982,45.6075,-121.1785,RIPEAtlas,,46.6022316682,-120.504696494,Yakima,Washington,US,False,2024-05-24
8560,51.2985,9.4915,RIPEAtlas,,51.3000069367,9.50002966171,Kassel,Hessen,DE,False,2024-05-24
1267,45.0905,7.6615,RIPEAtlas,,45.0703871857,7.66996048853,Turin,Piemonte,IT,False,2024-05-24
20015,-33.4485,-70.6485,RIPEAtlas,,-33.4500138155,-70.6670408546,Santiago,Región Metropolitana de Santiago,CL,False,2024-05-24
47066,40.8815,-121.6585,RIPEAtlas,,41.3103582958,-122.309392539,Mt. Shasta,California,US,False,2024-05-24
5610,50.5375,14.1375,RIPEAtlas,,50.6629981622,14.0810045544,Usti Nad Labem,Liberecký,CZ,False,2024-05-24
50124,48.8575,2.3475,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
47232,50.0585,15.8375,RIPEAtlas,,50.0404197378,15.7600093167,Pardubice,Královéhradecký,CZ,False,2024-05-24
30764,49.8195,18.2575,RIPEAtlas,,49.8303550406,18.2499865302,Ostrava,Moravskoslezský,CZ,False,2024-05-24
5410,48.8295,2.3175,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
149335,-0.1695,100.6475,RIPEAtlas,,-0.30314817414,100.361460326,Bukittinggi,Sumatera Barat,ID,False,2024-05-24
36352,37.3505,-121.9525,RIPEAtlas,,37.2999829295,-121.849989056,San Jose,California,US,False,2024-05-24
200736,40.6685,22.8975,RIPEAtlas,,40.6961063833,22.8850007718,Thessaloniki,Kentriki Makedonia,GR,False,2024-05-24
6799,37.9895,23.7375,RIPEAtlas,,37.9833262319,23.7333210843,Athens,Attiki,GR,False,2024-05-24
45090,34.7705,113.7175,RIPEAtlas,,34.7549961538,113.665092732,Zhengzhou,Henan,CN,False,2024-05-24
208453,59.4105,17.9475,RIPEAtlas,,59.3507599543,18.0973347328,Stockholm,Stockholm,SE,False,2024-05-24
3269,45.5375,9.1885,RIPEAtlas,,45.4699751984,9.20500890976,Milan,Lombardia,IT,False,2024-05-24
3209,53.3115,7.4785,RIPEAtlas,,53.3666766552,7.21665482446,Emden,Niedersachsen,DE,False,2024-05-24
34779,46.2475,15.2685,RIPEAtlas,,46.5404783316,15.6500418688,Maribor,Maribor,SI,False,2024-05-24
9031,51.0485,4.4685,RIPEAtlas,,51.2203735546,4.41501704776,Antwerpen,Antwerp,BE,False,2024-05-24
54825,-33.9205,151.1885,RIPEAtlas,,-33.9200109672,151.185179809,Sydney,New South Wales,AU,False,2024-05-24
54825,35.6795,139.6485,RIPEAtlas,,35.6850169058,139.751407429,Tokyo,Tokyo,JP,False,2024-05-24
36236,22.2805,114.1785,RIPEAtlas,,22.304980895,114.185009317,Hong Kong,,HK,False,2024-05-24
21738,39.1415,-94.5815,RIPEAtlas,,39.1070885098,-94.6040942189,Kansas City,Missouri,US,False,2024-05-24
7922,42.6015,-83.4315,RIPEAtlas,,42.6518526398,-83.290223838,Pontiac,Michigan,US,False,2024-05-24
212238,50.1015,8.6295,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2024-05-24
12322,48.8575,2.3505,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
12322,48.8585,2.3505,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
32489,43.6505,-79.3795,RIPEAtlas,,43.6999798778,-79.4200207944,Toronto,Ontario,CA,False,2024-05-24
8075,22.2805,114.1805,RIPEAtlas,,22.304980895,114.185009317,Hong Kong,,HK,False,2024-05-24
199811,46.1015,7.0805,RIPEAtlas,,46.2390030286,7.35399948193,Sion,Valais,CH,False,2024-05-24
15704,40.2905,-3.7995,RIPEAtlas,,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,False,2024-05-24
